Datetime;Consumption;FeedIn;Production;Purchased;SelfConsumption
2024-04-29 17:00:00+02:00;304,49878;2913,605;3218,1038;0;304,49878
2024-04-29 17:15:00+02:00;910,0066;2030,9072;2940,9138;0;910,0066
2024-04-29 17:30:00+02:00;223,82788;2426,497;2650,325;0;223,82788
2024-04-29 17:45:00+02:00;292,72766;2047,3627;2340,0903;0;292,72766
2024-04-29 18:00:00+02:00;287,27332;1723,834;2011,1073;0;287,27332
2024-04-29 18:15:00+02:00;143,927;1509,9866;1653,9136;0;143,927
2024-04-29 18:30:00+02:00;110,297;1196,635;1306,932;0;110,297
2024-04-29 18:45:00+02:00;114,26251;887,893;1002,1555;0;114,26251
2024-04-29 19:00:00+02:00;101,79584;586,40967;688,2055;0;101,79584
2024-04-29 19:15:00+02:00;130,84692;331,59082;462,43774;0;130,84692
2024-04-29 19:30:00+02:00;137,92926;99,79445;237,72371;0;137,92926
2024-04-29 19:45:00+02:00;88,95305;2,85824;76,58526;15,2260275;73,72702
2024-04-29 20:00:00+02:00;61,295605;9,659841;21,653255;49,30219;11,993415
2024-04-29 20:15:00+02:00;64,46443;10,2960005;15,559788;59,20064;5,2637873
2024-04-29 20:30:00+02:00;63,678246;20,159681;54,182243;29,655684;34,02256
2024-04-29 20:45:00+02:00;82,45662;19,551147;96,02302;5,9847465;76,47187
2024-04-29 21:00:00+02:00;110,82422;0;92,67937;18,144852;92,67937
2024-04-29 21:15:00+02:00;111,94799;0;94,227776;17,720213;94,227776
2024-04-29 21:30:00+02:00;109,56754;0;91,44306;18,12448;91,44306
2024-04-29 21:45:00+02:00;110,86917;0;91,3433;19,525867;91,3433
2024-04-29 22:00:00+02:00;113,3178;0;89,46188;23,855919;89,46188
2024-04-29 22:15:00+02:00;124,81715;0;89,462906;35,35424;89,462906
2024-04-29 22:30:00+02:00;121,06338;0;100,03735;21,026026;100,03735
2024-04-29 22:45:00+02:00;64,03839;22,789759;86,82815;0;64,03839
2024-04-29 23:00:00+02:00;68,354454;0;0;68,354454;0
2024-04-29 23:15:00+02:00;63,721066;0;0;63,721066;0
2024-04-29 23:30:00+02:00;68,262085;0;0;68,262085;0
2024-04-29 23:45:00+02:00;82,195526;0;0;82,195526;0
2024-04-30 00:00:00+02:00;3201,2402;0;3185,9224;15,317867;3185,9224
2024-04-30 00:15:00+02:00;3235,667;0;3221,3374;14,329706;3221,3374
2024-04-30 00:30:00+02:00;3230,6729;0;3207,3408;23,332054;3207,3408
2024-04-30 00:45:00+02:00;2190,0713;0;2160,4954;29,575998;2160,4954
2024-04-30 01:00:00+02:00;109,66971;0;82,423416;27,246294;82,423416
2024-04-30 01:15:00+02:00;119,48053;0;88,9585;30,522026;88,9585
2024-04-30 01:30:00+02:00;109,97668;14,333973;92,707344;31,603308;78,37337
2024-04-30 01:45:00+02:00;148,35223;0;113,00994;35,342293;113,00994
2024-04-30 02:00:00+02:00;96,92082;0;85,741516;11,179307;85,741516
2024-04-30 02:15:00+02:00;62,32653;0;58,20077;4,12576;58,20077
2024-04-30 02:30:00+02:00;63,180904;1,93952;60,7184;4,4020267;58,778877
2024-04-30 02:45:00+02:00;209,27924;12,132693;220,51283;0,89909333;208,38014
2024-04-30 03:00:00+02:00;134,14464;4,7778134;114,35765;24,5648;109,579834
2024-04-30 03:15:00+02:00;110,44403;0;86,121574;24,322454;86,121574
2024-04-30 03:30:00+02:00;102,06683;18,604692;115,01382;5,6577067;96,40913
2024-04-30 03:45:00+02:00;110,73666;0;93,38775;17,348907;93,38775
2024-04-30 04:00:00+02:00;93,24618;2,1577601;83,61333;11,790614;81,45557
2024-04-30 04:15:00+02:00;107,310844;11,472854;101,3309;17,452799;89,85805
2024-04-30 04:30:00+02:00;95,18454;6,478293;85,24737;16,415466;78,76907
2024-04-30 04:45:00+02:00;129,77637;0;105,05252;24,72384;105,05252
2024-04-30 05:00:00+02:00;121,551956;7,839253;129,06087;0,33034667;121,22161
2024-04-30 05:15:00+02:00;148,49728;10,779094;148,15575;11,12064;137,37665
2024-04-30 05:30:00+02:00;58,625275;4,3409066;57,70986;5,25632;53,368954
2024-04-30 05:45:00+02:00;51,84265;3,2325332;52,409477;2,6657066;49,176945
2024-04-30 06:00:00+02:00;64,1343;0;57,717876;6,4164267;57,717876
2024-04-30 06:15:00+02:00;54,083286;7,7717333;59,15262;2,7024002;51,380886
2024-04-30 06:30:00+02:00;70,09825;0,9463467;63,718197;7,3264;62,77185
2024-04-30 06:45:00+02:00;55,34896;10,814079;39,01072;27,15232;28,19664
2024-04-30 07:00:00+02:00;78,57763;16,096214;94,67384;0;78,57763
2024-04-30 07:15:00+02:00;29,971733;16,3872;0;46,358932;0
2024-04-30 07:30:00+02:00;141,85646;70,321175;204,26541;7,912213;133,94424
2024-04-30 07:45:00+02:00;132,93327;83,88203;177,00772;39,807575;93,125694
2024-04-30 08:00:00+02:00;189,30022;211,4878;355,21628;45,57173;143,72849
2024-04-30 08:15:00+02:00;110,20597;0;0;110,20597;0
2024-04-30 08:30:00+02:00;179,55074;161,03798;153,34702;187,2417;0
2024-04-30 08:45:00+02:00;381,6898;125,851845;0;507,54163;0
2024-04-30 09:00:00+02:00;247,40765;79,62571;190,853;136,18037;111,22729
2024-04-30 09:15:00+02:00;330,1665;0;0;330,1665;0
2024-04-30 09:30:00+02:00;105,001366;0;34,100563;70,9008;34,100563
2024-04-30 09:45:00+02:00;0;135,27391;0;71,83936;0
2024-04-30 10:00:00+02:00;121,2337;0;0;121,2337;0
2024-04-30 10:15:00+02:00;44,518505;50,342403;0;94,86091;0
2024-04-30 10:30:00+02:00;54,580296;0;23,828402;30,751894;23,828402
2024-04-30 10:45:00+02:00;17,113304;75,66443;19,185946;73,59179;0
2024-04-30 11:00:00+02:00;54,27987;92,86188;58,477104;88,66464;0
2024-04-30 11:15:00+02:00;45,553288;445,6148;482,3955;8,772587;36,7807
2024-04-30 11:30:00+02:00;106,6991;1105,4694;1212,1685;0;106,6991
2024-04-30 11:45:00+02:00;107,250244;1690,2899;1797,5402;0;107,250244
2024-04-30 12:00:00+02:00;106,61401;1462,5254;1569,1394;0;106,61401
2024-04-30 12:15:00+02:00;122,90874;913,65045;1023,92175;12,63744;110,2713
2024-04-30 12:30:00+02:00;129,45947;1755,9834;1885,4429;0;129,45947
2024-04-30 12:45:00+02:00;141,13696;1868,5104;2009,6473;0;141,13696
2024-04-30 13:00:00+02:00;131,30762;2885,5015;3016,809;0;131,30762
2024-04-30 13:15:00+02:00;76,08301;2631,4167;2707,4998;0;76,08301
2024-04-30 13:30:00+02:00;105,53174;4463,202;4568,734;0;105,53174
2024-04-30 13:45:00+02:00;108,7793;4988,6274;5097,4067;0;108,7793
2024-04-30 14:00:00+02:00;94,12329;3962,1257;4056,249;0;94,12329
2024-04-30 14:15:00+02:00;66,26172;2436,181;2502,4426;0;66,26172
2024-04-30 14:30:00+02:00;73,31006;2053,0938;2126,4038;0;73,31006
2024-04-30 14:45:00+02:00;91,0625;764,9013;855,9638;0;91,0625
2024-04-30 15:00:00+02:00;105,24826;498,22165;603,4699;0;105,24826
2024-04-30 15:15:00+02:00;104,80377;409,39478;514,19855;0;104,80377
2024-04-30 15:30:00+02:00;104,68439;795,73895;900,42334;0;104,68439
2024-04-30 15:45:00+02:00;105,117676;1036,9017;1142,0194;0;105,117676
2024-04-30 16:00:00+02:00;117,253174;1326,6824;1443,9355;0;117,253174
2024-04-30 16:15:00+02:00;121,96704;1029,9166;1151,8837;0;121,96704
2024-04-30 16:30:00+02:00;135,6839;495,336;631,0199;0;135,6839
2024-04-30 16:45:00+02:00;136,44223;382,54105;518,9833;0;136,44223
2024-04-30 17:00:00+02:00;66,07938;151,82368;217,90306;0;66,07938
2024-04-30 17:15:00+02:00;67,75104;41,346878;99,57962;9,518293;58,232742
2024-04-30 17:30:00+02:00;72,263916;21,8048;83,11544;10,95328;61,31064
2024-04-30 17:45:00+02:00;58,844223;0;11,019365;47,824856;11,019365
2024-04-30 18:00:00+02:00;61,68899;10,6199465;61,27395;11,034987;50,654003
2024-04-30 18:15:00+02:00;111,47669;22,533653;103,67605;30,334295;81,142395
2024-04-30 18:30:00+02:00;147,33267;22,40064;90,50121;79,2321;68,10057
2024-04-30 18:45:00+02:00;22,059143;169,27232;191,33147;0;22,059143
2024-04-30 19:00:00+02:00;111,54755;247,04993;358,59747;0;111,54755
2024-04-30 19:15:00+02:00;106,34062;136,9329;243,27353;0;106,34062
2024-04-30 19:30:00+02:00;103,58739;0;39,40691;64,18048;39,40691
2024-04-30 19:45:00+02:00;101,61149;1,6949334;99,17223;4,1341867;97,4773
2024-04-30 20:00:00+02:00;123,68324;0;96,264145;27,419094;96,264145
2024-04-30 20:15:00+02:00;119,362755;0;93,0515;26,311255;93,0515
2024-04-30 20:30:00+02:00;151,6812;0;122,71757;28,963627;122,71757
2024-04-30 20:45:00+02:00;101,75639;8,992853;99,23234;11,516907;90,23949
2024-04-30 21:00:00+02:00;64,257996;8,74304;14,9784155;58,022617;6,2353754
2024-04-30 21:15:00+02:00;88,35126;0;0;88,35126;0
2024-04-30 21:30:00+02:00;65,82498;25,80128;91,62626;0;65,82498
2024-04-30 21:45:00+02:00;63,576416;25,77472;89,351135;0;63,576416
2024-04-30 22:00:00+02:00;65,29433;16,699839;52,714485;29,27968;36,01465
2024-04-30 22:15:00+02:00;63,7881;24,690132;88,47823;0;63,7881
2024-04-30 22:30:00+02:00;64,05478;24,597334;88,652115;0;64,05478
2024-04-30 22:45:00+02:00;104,85411;0;88,921844;15,932267;88,921844
2024-04-30 23:00:00+02:00;220,57333;0;122,768745;97,80458;122,768745
